Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

397   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	81	0x1.a25b57e276181p-18	54	0x1.6dbc896349e61p+5	1	37887240	gamma	gamma electron 
399   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	61	0x1.9782016a46ea6p-18	66	0x1.2e40dc582743p+5	1	37887240	gamma	gamma electron 
401   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dccp-6	26	0x1.8ae18c22d6f16p-10	34	0x1.105780339f299p+5	1	37887240	gamma	gamma electron 
403   	0x1.eb851eb851eb9p-5	0x1.5ef34a1b3311fp-9	6	0x1.f91bc3fb1f5acp-18	2	0x1.67f2d37ff1e4cp+4	1	37887240	e-	electron 
405   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	69	0x1.6e1a658b5b2f8p-18	64	0x1.5078a55e8fd82p+5	1	37887240	gamma	gamma electron 
406   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	75	0x1.b83d23b4657a3p-18	67	0x1.62caf7b87f12ap+5	1	37887240	gamma	gamma electron 
407   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	76	0x1.b35e951c7e94cp-10	171	0x1.787439aae7631p+5	1	37887240	gamma	gamma electron 
410   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebcp-5	65	0x1.cee641f6bc814p-16	56	0x1.465a6bf26a1cdp+5	1	37887240	gamma	gamma electron 
412   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcbp-6	18	0x1.b46a8f566da31p-18	28	0x1.6e05df229658bp+5	1	37887240	gamma	gamma electron 
413   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	21	0x1.325774391dfaep-17	30	0x1.6c4a8ff88bc1cp+5	1	37887240	gamma	gamma electron 
418   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91935p-6	32	0x1.44aa3467b2d3ep-17	37	0x1.590cd56b6656fp+5	1	37887240	gamma	gamma electron 
419   	0x1.eb851eb851eb9p-5	0x1.be85e22cb0623p-7	21	0x1.355eb8b52a8f8p-17	10	0x1.0d3efb135af36p+6	1	37887240	gamma	gamma electron 
425   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	49	0x1.92d50ac87dd88p-18	94	0x1.8d715dde63fcfp+5	1	37887240	gamma	gamma electron 
427   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebdp-5	46	0x1.87ee525fc0d54p-16	68	0x1.3cbf1cb4ae4c8p+5	1	37887240	gamma	gamma electron 
431   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91934p-6	29	0x1.9c54fd0571663p-18	20	0x1.7acec1b072111p+5	1	37887240	gamma	gamma electron 
434   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	48	0x1.6cbbbfcba4b95p-18	60	0x1.45335da6c2535p+5	1	37887240	gamma	gamma electron 
437   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebbp-5	63	0x1.cbb9d32cb174bp-17	57	0x1.5f233fef108f6p+5	1	37887240	gamma	gamma electron 
442   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dc9p-6	29	0x1.7aaee7735877bp-12	41	0x1.47e509d926428p+5	1	37887240	gamma	gamma electron 
443   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	71	0x1.0923df128cca6p-16	55	0x1.413caf919ec5cp+5	1	37887240	gamma	gamma electron 
449   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	56	0x1.19f518c5e68e9p-10	67	0x1.3434f29fdba34p+5	1	37887240	gamma	gamma electron 
454   	0x1.eb851eb851eb9p-5	0x1.5fdd44c99f6e6p-8	13	0x1.e6a6595de5e68p-15	7	0x1.75297901c6249p+5	1	37887240	e-	electron 
