INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,112,78,1992)
AUTHOR     (W.B.AMIAN,R.C.BYRD,C.A.GOULDING,M.M.MEIER,G.L.MORGAN,
           C.E.MOSS,D.A.CLARK)
TITLE      Differential Neutron Production Cross Sections for
            800-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . live time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections, R. Byrd, 21 May 1999
HISTORY    (19980911C)
           (19990601A) Data units corrected.
 60.        3.5000E+02 2.0000E+01 4.8370E-06 1.6310E-07
 60.        3.7000E+02 2.0000E+01 3.4180E-06 1.3320E-07
 60.        3.9000E+02 2.0000E+01 2.3550E-06 1.1150E-07
 60.        4.1000E+02 2.0000E+01 1.6450E-06 9.3930E-08
 60.        4.3000E+02 2.0000E+01 1.1450E-06 7.5790E-08
 60.        4.5000E+02 2.0000E+01 7.7890E-07 6.2870E-08
 60.        4.7000E+02 2.0000E+01 5.6810E-07 5.4770E-08
 60.        4.9000E+02 2.0000E+01 3.2400E-07 4.3000E-08
 60.        5.2500E+02 2.0000E+01 1.8860E-07 2.2670E-08
 60.        5.7500E+02 2.0000E+01 5.2820E-08 1.5100E-08
 60.        6.2500E+02 2.0000E+01 2.9670E-08 1.3010E-08
 60.        6.7500E+02 2.0000E+01 1.2550E-08 1.1440E-08
120.        5.2500E-01 5.0000E-01 2.9850E-03 0.0
120.        5.2500E-01 5.0000E-01 2.9850E-03 4.0370E-05
120.        5.7500E-01 5.0000E-01 3.2950E-03 3.4440E-05
120.        6.2500E-01 5.0000E-01 3.0800E-03 3.1330E-05
120.        6.7500E-01 5.0000E-01 3.3660E-03 2.9080E-05
120.        7.2500E-01 5.0000E-01 3.5760E-03 2.7890E-05
120.        7.7500E-01 5.0000E-01 3.5930E-03 2.7090E-05
120.        8.2500E-01 5.0000E-01 3.5390E-03 2.6020E-05
120.        8.7500E-01 5.0000E-01 3.5680E-03 2.5540E-05
120.        9.2500E-01 5.0000E-01 3.7480E-03 2.6320E-05
120.        9.7500E-01 5.0000E-01 3.4330E-03 2.5170E-05
120.        1.0750E+00 1.0000E-01 3.1200E-03 1.6650E-05
120.        1.1500E+00 1.0000E-01 3.0090E-03 1.5590E-05
120.        1.2500E+00 1.0000E-01 2.9200E-03 1.5020E-05
120.        1.3500E+00 1.0000E-01 2.6440E-03 1.4350E-05
120.        1.4500E+00 1.0000E-01 2.6060E-03 1.3990E-05
120.        1.5500E+00 1.0000E-01 2.5200E-03 1.3760E-05
120.        1.6500E+00 1.0000E-01 2.3950E-03 1.3410E-05
120.        1.7500E+00 1.0000E-01 2.1920E-03 1.2870E-05
120.        1.8500E+00 1.0000E-01 2.1600E-03 1.2860E-05
120.        1.9500E+00 1.0000E-01 2.1240E-03 1.2880E-05
120.        2.1000E+00 2.0000E-01 1.8760E-03 8.4060E-06
120.        2.3000E+00 2.0000E-01 1.8490E-03 8.8890E-06
120.        2.5000E+00 2.0000E-01 1.8270E-03 9.2110E-06
120.        2.7000E+00 2.0000E-01 1.5160E-03 8.3990E-06
120.        2.9000E+00 2.0000E-01 1.3730E-03 8.3640E-06
120.        3.1000E+00 2.0000E-01 1.2590E-03 8.1670E-06
120.        3.3000E+00 2.0000E-01 1.1040E-03 7.5440E-06
120.        3.5000E+00 2.0000E-01 9.9610E-04 7.2500E-06
120.        3.7000E+00 2.0000E-01 9.5050E-04 7.0120E-06
