INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,102,310,198907)
           (R,LA-11518,198903)
AUTHOR     (M.M.MEIER,D.A.CLARK,C.A.GOULDING,J.B.MCCLELLAND,
           G.L.MORGAN,C.E.MOSS,W.B.AMIAN)
TITLE      Differential Neutron Production Cross Sections and
            Neutron Yields from Stopping-Length Targets for
            113-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections by M. Meier, 21 May
 60.        4.7000E+01 2.0000E+00 9.9650E-05 7.8580E-06
 60.        4.9000E+01 2.0000E+00 1.0630E-04 7.9830E-06
 60.        5.2500E+01 5.0000E+00 8.9030E-05 4.6580E-06
 60.        5.7500E+01 5.0000E+00 7.0760E-05 4.2380E-06
 60.        6.2500E+01 5.0000E+00 6.2500E-05 4.0310E-06
 60.        6.7500E+01 5.0000E+00 4.8360E-05 3.5370E-06
 60.        7.2500E+01 5.0000E+00 3.8090E-05 3.2150E-06
 60.        7.7500E+01 5.0000E+00 3.1700E-05 2.9800E-06
 60.        8.2500E+01 5.0000E+00 2.0490E-05 2.4650E-06
 60.        8.7500E+01 5.0000E+00 9.3680E-07 1.1380E-06
150.        6.7500E-01 5.0000E-01 4.9010E-04 0.0
150.        6.7500E-01 5.0000E-01 4.9010E-04 9.1540E-05
150.        7.2500E-01 5.0000E-01 5.0790E-04 8.4840E-05
150.        7.7500E-01 5.0000E-01 3.3230E-04 8.4060E-05
150.        8.2500E-01 5.0000E-01 5.2130E-04 7.8670E-05
150.        8.7500E-01 5.0000E-01 4.4350E-04 7.4620E-05
150.        9.2500E-01 5.0000E-01 5.2980E-04 8.0070E-05
150.        9.7500E-01 5.0000E-01 5.1390E-04 7.6640E-05
150.        1.0750E+00 1.0000E-01 4.4320E-04 4.9160E-05
150.        1.1500E+00 1.0000E-01 4.5580E-04 4.4820E-05
150.        1.2500E+00 1.0000E-01 4.1710E-04 4.3460E-05
150.        1.3500E+00 1.0000E-01 4.3650E-04 4.2290E-05
150.        1.4500E+00 1.0000E-01 3.8270E-04 3.9200E-05
150.        1.5500E+00 1.0000E-01 3.9600E-04 3.8290E-05
150.        1.6500E+00 1.0000E-01 3.9080E-04 3.7500E-05
150.        1.7500E+00 1.0000E-01 4.3110E-04 3.6710E-05
150.        1.8500E+00 1.0000E-01 3.8080E-04 3.5150E-05
150.        1.9500E+00 1.0000E-01 3.9330E-04 3.5280E-05
150.        2.1000E+00 2.0000E-01 3.5160E-04 2.3570E-05
150.        2.3000E+00 2.0000E-01 4.1820E-04 2.4770E-05
150.        2.5000E+00 2.0000E-01 4.4420E-04 2.6270E-05
150.        2.7000E+00 2.0000E-01 3.9210E-04 2.3670E-05
150.        2.9000E+00 2.0000E-01 3.6860E-04 2.7620E-05
150.        3.1000E+00 2.0000E-01 3.2980E-04 2.2370E-05
150.        3.3000E+00 2.0000E-01 2.9200E-04 2.1060E-05
150.        3.5000E+00 2.0000E-01 2.6680E-04 1.9840E-05
150.        3.7000E+00 2.0000E-01 2.7670E-04 1.9230E-05
150.        3.9000E+00 2.0000E-01 2.4020E-04 1.8770E-05
150.        4.1000E+00 2.0000E-01 2.4360E-04 1.9380E-05
150.        4.3000E+00 2.0000E-01 2.3410E-04 1.9020E-05
150.        4.5000E+00 2.0000E-01 2.1600E-04 1.7450E-05
150.        4.7000E+00 2.0000E-01 2.4550E-04 1.9460E-05
150.        4.9000E+00 2.0000E-01 2.3970E-04 1.8390E-05
150.        5.2500E+00 5.0000E-01 1.8690E-04 1.0480E-05
150.        5.7500E+00 5.0000E-01 2.1280E-04 1.1050E-05
150.        6.2500E+00 5.0000E-01 1.7900E-04 9.7870E-06
150.        6.7500E+00 5.0000E-01 1.5290E-04 9.4740E-06
150.        7.2500E+00 5.0000E-01 1.4860E-04 9.3080E-06
150.        7.7500E+00 5.0000E-01 1.3300E-04 8.9010E-06
150.        8.2500E+00 5.0000E-01 1.2480E-04 8.5820E-06
150.        8.7500E+00 5.0000E-01 1.1770E-04 8.2040E-06
150.        9.2500E+00 5.0000E-01 1.1370E-04 9.2540E-06
150.        9.7500E+00 5.0000E-01 1.1640E-04 8.3630E-06
150.        1.0750E+01 1.0000E+00 9.5480E-05 5.3470E-06
150.        1.1500E+01 1.0000E+00 8.0340E-05 4.9620E-06
150.        1.2500E+01 1.0000E+00 7.5090E-05 4.7750E-06
150.        1.3500E+01 1.0000E+00 6.7540E-05 4.5380E-06
150.        1.4500E+01 1.0000E+00 5.6130E-05 4.3720E-06
150.        1.5500E+01 1.0000E+00 5.7010E-05 4.2860E-06
150.        1.6500E+01 1.0000E+00 4.9530E-05 4.0420E-06
150.        1.7500E+01 1.0000E+00 4.1900E-05 3.9840E-06
150.        1.8500E+01 1.0000E+00 3.8760E-05 3.6780E-06
150.        1.9500E+01 1.0000E+00 2.9200E-05 3.6100E-06
150.        2.1000E+01 2.0000E+00 2.9520E-05 2.3710E-06
150.        2.3000E+01 2.0000E+00 2.3500E-05 2.1990E-06
150.        2.5000E+01 2.0000E+00 1.8460E-05 2.0460E-06
