TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (40-ZR-94(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     ZR-94(91.2 PERCENT).THICKNESS OF FOIL=4.91E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        383
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 1.4530E+01 9.0000E+01 7.1000E-01 1.9000E-01
 1.4530E+01 1.2000E+02 5.1000E-01 1.4000E-01
 1.4530E+01 1.5000E+02 3.3000E-01 1.1000E-01
 1.4990E+01 3.0000E+01 4.3900E+00 1.1400E+00
 1.4990E+01 6.0000E+01 1.3400E+00 3.5000E-01
 1.4990E+01 9.0000E+01 6.0000E-01 1.6000E-01
 1.4990E+01 1.2000E+02 5.0000E-01 1.5000E-01
 1.4990E+01 1.5000E+02 2.9000E-01 1.0000E-01
 1.5470E+01 3.0000E+01 3.8400E+00 9.9000E-01
 1.5470E+01 6.0000E+01 1.2300E+00 3.2000E-01
 1.5470E+01 9.0000E+01 5.7000E-01 1.5000E-01
 1.5470E+01 1.2000E+02 3.1000E-01 9.0000E-02
 1.5470E+01 1.5000E+02 2.5000E-01 1.0000E-01
 1.5970E+01 3.0000E+01 3.4500E+00 8.9000E-01
 1.5970E+01 6.0000E+01 1.1000E+00 2.9000E-01
 1.5970E+01 9.0000E+01 5.7000E-01 1.5000E-01
 1.5970E+01 1.2000E+02 4.3000E-01 1.3000E-01
 1.5970E+01 1.5000E+02 2.0000E-01 6.0000E-02
 1.6500E+01 3.0000E+01 3.2900E+00 8.6000E-01
 1.6500E+01 6.0000E+01 1.0400E+00 2.2000E-01
 1.6500E+01 9.0000E+01 5.5000E-01 1.5000E-01
 1.6500E+01 1.2000E+02 3.0000E-01 9.0000E-02
 1.6500E+01 1.5000E+02 2.5000E-01 1.0000E-01
 1.7060E+01 3.0000E+01 3.0200E+00 7.9000E-01
 1.7060E+01 6.0000E+01 9.8000E-01 2.5000E-01
 1.7060E+01 9.0000E+01 5.6000E-01 1.5000E-01
 1.7060E+01 1.2000E+02 2.9000E-01 1.0000E-01
 1.7060E+01 1.5000E+02 2.1000E-01 8.0000E-02
 1.7640E+01 3.0000E+01 2.8200E+00 7.3000E-01
 1.7640E+01 6.0000E+01 9.3000E-01 2.4000E-01
 1.7640E+01 9.0000E+01 4.6000E-01 1.3000E-01
 1.7640E+01 1.2000E+02 2.2000E-01 6.0000E-02
 1.7640E+01 1.5000E+02 1.6000E-01 6.0000E-02
 1.8250E+01 3.0000E+01 2.6400E+00 6.9000E-01
 1.8250E+01 6.0000E+01 8.5000E-01 2.2000E-01
 1.8250E+01 9.0000E+01 3.6000E-01 1.0000E-01
 1.8250E+01 1.2000E+02 2.2000E-01 9.0000E-02
 1.8250E+01 1.5000E+02 1.4000E-01 6.0000E-02
 1.8900E+01 3.0000E+01 2.3900E+00 6.3000E-01
 1.8900E+01 6.0000E+01 7.2000E-01 1.9000E-01
 1.8900E+01 9.0000E+01 3.3000E-01 9.0000E-02
 1.8900E+01 1.2000E+02 2.2000E-01 7.0000E-02
 1.8900E+01 1.5000E+02 1.3000E-01 7.0000E-02
 1.9590E+01 3.0000E+01 2.1300E+00 5.6000E-01
 1.9590E+01 6.0000E+01 6.1000E-01 1.6000E-01
 1.9590E+01 9.0000E+01 2.9000E-01 8.0000E-02
 1.9590E+01 1.2000E+02 2.4000E-01 1.0000E-01
 1.9590E+01 1.5000E+02 9.0000E-02 6.0000E-02
 2.0310E+01 3.0000E+01 1.8900E+00 5.0000E-01
 2.0310E+01 6.0000E+01 5.2000E-01 1.4000E-01
 2.0310E+01 9.0000E+01 2.6000E-01 8.0000E-02
 2.0310E+01 1.2000E+02 1.3000E-01 4.0000E-02
